Destination,Prefix,First Increment,Second Increment,Rate
AUSTRALIA - MOBILE - OPTUS,61432,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61412,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614352,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61401,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61411,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61402,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614663,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614351,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614662,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61431,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61403,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61422,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61434,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614661,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614660,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614664,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614666,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614350,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61423,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61448,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614889,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61439,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61427,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61419,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614884,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61418,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614881,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614886,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61409,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614883,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61428,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61447,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61400,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61417,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614885,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61407,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614880,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61437,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614887,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61408,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,614882,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61438,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61458,30,6,0.1319
AUSTRALIA - MOBILE - TELSTRA,61429,30,6,0.1319
AUSTRALIA - MOBILE - VODAFONE,614209,30,6,0.1290
AUSTRALIA - MOBILE - VODAFONE,614205,30,6,0.1290
AUSTRALIA - MOBILE - VODAFONE,614203,30,6,0.1290
